INFO 2021-11-22 08:34:19,482: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 08:34:20,676: 784 entries were already downloaded
INFO 2021-11-22 08:34:20,676: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 11:36:01,702: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 11:36:02,531: 818 entries were already downloaded
INFO 2021-11-22 11:36:02,531: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 11:36:03,639: 603 entries were already downloaded
INFO 2021-11-22 12:00:02,484: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 12:00:03,628: 974 entries were already downloaded
INFO 2021-11-22 12:00:03,629: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 12:00:04,798: 975 entries were already downloaded
INFO 2021-11-22 13:00:02,622: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 13:00:04,099: 939 entries were already downloaded
INFO 2021-11-22 13:00:04,100: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 13:00:05,474: 939 entries were already downloaded
INFO 2021-11-22 14:00:02,594: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 14:00:03,753: 940 entries were already downloaded
INFO 2021-11-22 14:00:03,753: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 14:00:04,792: 939 entries were already downloaded
INFO 2021-11-22 15:00:02,956: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 15:00:04,410: 938 entries were already downloaded
INFO 2021-11-22 15:00:04,411: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 15:00:05,556: 939 entries were already downloaded
INFO 2021-11-22 16:00:02,571: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 16:00:04,055: 940 entries were already downloaded
INFO 2021-11-22 16:00:04,056: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 16:00:05,471: 939 entries were already downloaded
INFO 2021-11-22 17:00:02,265: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 17:00:03,765: 938 entries were already downloaded
INFO 2021-11-22 17:00:03,766: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 17:00:04,908: 938 entries were already downloaded
INFO 2021-11-22 18:00:02,273: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 18:00:03,791: 939 entries were already downloaded
INFO 2021-11-22 18:00:03,792: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 18:00:04,932: 939 entries were already downloaded
INFO 2021-11-22 19:00:02,239: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 19:00:03,414: 939 entries were already downloaded
INFO 2021-11-22 19:00:03,414: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 19:00:04,043: 940 entries were already downloaded
INFO 2021-11-22 20:00:02,240: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 20:00:03,769: 940 entries were already downloaded
INFO 2021-11-22 20:00:03,770: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 20:00:05,184: 939 entries were already downloaded
INFO 2021-11-22 21:00:02,252: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 21:00:03,177: 938 entries were already downloaded
INFO 2021-11-22 21:00:03,177: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 21:00:04,328: 938 entries were already downloaded
INFO 2021-11-22 23:02:23,637: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-22 23:02:25,120: 877 entries were already downloaded
INFO 2021-11-22 23:02:25,120: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-22 23:02:26,259: 877 entries were already downloaded
INFO 2021-11-23 00:00:01,276: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 00:00:02,827: 942 entries were already downloaded
INFO 2021-11-23 00:00:02,827: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 00:00:04,199: 942 entries were already downloaded
INFO 2021-11-23 01:00:02,269: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 01:00:03,445: 939 entries were already downloaded
INFO 2021-11-23 01:00:03,445: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 01:00:04,895: 939 entries were already downloaded
INFO 2021-11-23 02:00:02,240: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 02:00:03,418: 939 entries were already downloaded
INFO 2021-11-23 02:00:03,418: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 02:00:04,528: 939 entries were already downloaded
INFO 2021-11-23 03:00:02,494: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 03:00:03,970: 938 entries were already downloaded
INFO 2021-11-23 03:00:03,970: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 03:00:05,115: 939 entries were already downloaded
INFO 2021-11-23 06:40:19,745: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 06:40:21,296: 779 entries were already downloaded
INFO 2021-11-23 06:40:21,296: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 13:00:03,005: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 13:00:04,520: 619 entries were already downloaded
INFO 2021-11-23 13:00:04,520: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 13:00:05,630: 399 entries were already downloaded
INFO 2021-11-23 14:00:02,622: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 14:00:04,090: 939 entries were already downloaded
INFO 2021-11-23 14:00:04,090: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 14:00:05,240: 939 entries were already downloaded
INFO 2021-11-23 15:00:02,538: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 15:00:03,759: 939 entries were already downloaded
INFO 2021-11-23 15:00:03,760: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 15:00:04,728: 939 entries were already downloaded
INFO 2021-11-23 16:00:02,614: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 16:00:03,808: 939 entries were already downloaded
INFO 2021-11-23 16:00:03,809: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 16:00:04,472: 939 entries were already downloaded
INFO 2021-11-23 17:00:02,666: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 17:00:04,120: 939 entries were already downloaded
INFO 2021-11-23 17:00:04,120: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 17:00:05,259: 938 entries were already downloaded
INFO 2021-11-23 18:00:02,574: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 18:00:03,765: 940 entries were already downloaded
INFO 2021-11-23 18:00:03,766: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 18:00:04,939: 940 entries were already downloaded
INFO 2021-11-23 19:00:02,607: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 19:00:03,974: 939 entries were already downloaded
INFO 2021-11-23 19:00:03,975: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 19:00:05,158: 939 entries were already downloaded
INFO 2021-11-23 20:00:02,607: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 20:00:03,793: 938 entries were already downloaded
INFO 2021-11-23 20:00:03,794: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 20:00:04,940: 939 entries were already downloaded
INFO 2021-11-23 21:00:02,587: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 21:00:03,838: 940 entries were already downloaded
INFO 2021-11-23 21:00:03,839: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 21:00:05,206: 939 entries were already downloaded
INFO 2021-11-23 22:30:11,138: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 22:30:12,434: 909 entries were already downloaded
INFO 2021-11-23 22:30:12,434: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 22:30:13,312: 908 entries were already downloaded
INFO 2021-11-23 23:00:02,462: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-23 23:00:03,280: 968 entries were already downloaded
INFO 2021-11-23 23:00:03,280: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-23 23:00:04,421: 970 entries were already downloaded
INFO 2021-11-24 00:00:02,075: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 00:00:03,283: 940 entries were already downloaded
INFO 2021-11-24 00:00:03,284: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 00:00:04,326: 939 entries were already downloaded
INFO 2021-11-24 01:00:02,541: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 01:00:03,810: 939 entries were already downloaded
INFO 2021-11-24 01:00:03,810: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 01:00:04,929: 939 entries were already downloaded
INFO 2021-11-24 02:00:02,865: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 02:00:04,045: 939 entries were already downloaded
INFO 2021-11-24 02:00:04,046: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 02:00:05,196: 939 entries were already downloaded
INFO 2021-11-24 03:00:02,639: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 03:00:03,819: 938 entries were already downloaded
INFO 2021-11-24 03:00:03,820: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 03:00:04,950: 939 entries were already downloaded
INFO 2021-11-24 04:00:02,664: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 04:00:03,877: 939 entries were already downloaded
INFO 2021-11-24 04:00:03,878: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 04:00:05,020: 938 entries were already downloaded
INFO 2021-11-24 05:00:02,601: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 05:00:03,806: 939 entries were already downloaded
INFO 2021-11-24 05:00:03,807: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 05:00:04,961: 939 entries were already downloaded
INFO 2021-11-24 08:23:56,405: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 08:23:57,580: 796 entries were already downloaded
INFO 2021-11-24 08:23:57,580: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 08:23:58,952: 796 entries were already downloaded
INFO 2021-11-24 09:00:02,562: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 09:00:04,000: 963 entries were already downloaded
INFO 2021-11-24 09:00:04,000: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 09:00:05,137: 963 entries were already downloaded
INFO 2021-11-24 10:00:02,620: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 10:00:03,501: 938 entries were already downloaded
INFO 2021-11-24 10:00:03,501: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 10:00:04,158: 939 entries were already downloaded
INFO 2021-11-24 13:25:52,463: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 13:25:53,640: 794 entries were already downloaded
INFO 2021-11-24 13:25:53,641: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 13:25:54,585: 793 entries were already downloaded
INFO 2021-11-24 18:13:28,685: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 18:13:29,535: 711 entries were already downloaded
INFO 2021-11-24 18:13:29,535: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 18:13:30,670: 711 entries were already downloaded
INFO 2021-11-24 19:00:02,804: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 19:00:03,963: 952 entries were already downloaded
INFO 2021-11-24 19:00:03,963: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 19:00:05,109: 953 entries were already downloaded
INFO 2021-11-24 20:00:02,776: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 20:00:04,263: 939 entries were already downloaded
INFO 2021-11-24 20:00:04,264: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 20:00:05,235: 939 entries were already downloaded
INFO 2021-11-24 21:00:02,579: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 21:00:03,486: 940 entries were already downloaded
INFO 2021-11-24 21:00:03,487: Updating SPOT_ETH_USDT_1m.csv
INFO 2021-11-24 21:00:04,910: 939 entries were already downloaded
INFO 2021-11-24 22:00:02,653: Updating SPOT_BTC_USDT_1m.csv
INFO 2021-11-24 22:00:03,771: 938 entries were already downloaded
